20250107	14:28:46	c87de7b6-a3cc-40e5-8c54-751d25075004	/new-page.html	GET
20250107	14:28:46	339751ba-0a4d-465a-89a3-b6d6d123d067	/css/style.css	GET
20250107	14:28:46	7842085e-e6cd-4b2f-bd26-ff84a01fb9b1	/img/img1.jpg	GET
20250107	14:28:46	ade96b86-93fa-4e5f-a1b5-ca923455c38e	/favicon.ico	GET
20250107	14:28:59	e4b1f382-1270-47e1-98cb-9668c8547af2	/new-page.htm	GET
20250107	14:28:59	18f8b7f0-ca4f-4568-ad2c-227ddbcecd36	/css/style.css	GET
20250107	14:29:50	f899dbaf-a19e-4354-b591-b7c4120279fd	/new-page.htm	GET
20250107	14:30:13	16552849-0937-4d7c-8f26-63ecba8f934a	/new-page.htm	GET
20250107	14:30:13	ec75f140-5fd3-42c0-ae9c-af241d2f8257	/css/style.css	GET
20250108	10:24:06	b8634416-746d-439a-9d96-29d1973f9951	GET	undefined	/
20250108	10:24:06	a3442f34-e9c0-4a7b-840e-68cc5e7381ed	GET	undefined	/css/style.css
20250108	10:24:17	1961e34e-f5ae-43a6-b554-4f3ba6413128	GET	undefined	/
20250108	10:24:17	d922d4d7-e6b7-4fa5-85f1-f0029bbdc668	GET	undefined	/css/style.css
20250108	10:26:28	dfe84557-a8d3-4bdd-b5d0-3365bdc06274	GET	undefined	/
20250108	10:26:28	8f671b4b-e405-44d2-9741-6af73890a007	GET	undefined	/css/style.css
20250108	10:30:32	7af66412-0bf4-4bba-8dd1-c8134c51fc1f	OPTIONS	https://www.google.com	/
20250108	10:30:32	9c972899-6225-4459-aee9-a23452d6909e	GET	https://www.google.com	/
20250108	10:35:34	9d762fa4-5428-4cb1-91f1-ac78a8c44d4c	OPTIONS	https://www.google.com	/
20250108	10:35:34	58e09e90-7e80-471a-9357-612ae34d1db2	GET	https://www.google.com	/
20250108	10:36:26	a4e5926d-be13-40ce-987b-12cd52fce3a0	OPTIONS	https://ocscode.com	/
20250108	10:36:27	0e8e3255-8114-40f3-ba5f-cb90b75fd2c8	GET	https://ocscode.com	/
20250108	10:36:44	205ffd04-d7ed-4346-802a-ecc45d78dd38	OPTIONS	https://ocscode.com	/
20250108	10:36:44	9cfb8cf7-2737-49a0-92c2-b37b34421a24	GET	https://ocscode.com	/
20250108	10:40:13	b045ff43-8009-46fb-b858-a27ef781ae86	GET	undefined	/
20250108	10:41:03	f3a87e4b-cff9-4606-9c4f-686061728e4d	GET	undefined	/
20250108	10:41:03	dd0c1805-151b-4639-b206-78f2ad4927fe	GET	undefined	/css/style.css
20250108	10:47:30	136ffec7-9aad-400b-88fb-8eb1647aada3	GET	undefined	/
20250108	10:47:30	9e4ff0aa-be02-4666-ac0c-94f764f7d2cf	GET	undefined	/css/style.css
20250108	10:47:49	95f27b23-8141-4852-a519-f927d7d4dfdd	OPTIONS	https://www.google.com	/
20250108	10:47:49	3a5aec19-63e4-4dd2-8056-4bd3c2aabd80	GET	https://www.google.com	/
20250108	10:48:37	aa5457fc-0bae-4809-8f7d-e01639fa3462	GET	undefined	/
20250108	10:48:46	a90b792f-05b1-4b63-9c57-482e234426f5	GET	undefined	/
20250108	10:48:46	957ef2e4-9ce7-4080-93bd-b9fe63946eff	GET	undefined	/css/style.css
20250108	10:50:13	3d6fab1c-688d-4b78-ae89-9663e70ae1e1	GET	undefined	/dave
20250108	10:50:13	1fb9a392-b94e-4bcc-8141-d45848315cc7	GET	undefined	/css/style.css
20250108	10:52:18	e91ca49c-6c9c-4201-8a22-fceaed42a9aa	GET	undefined	/dave
20250108	10:52:18	ea7e58d2-5ef1-4c37-9edb-46e7ca2c2d4a	GET	undefined	/css/style.css
20250108	11:07:20	2ceff6de-cc54-4c38-9b89-7979513bc0c1	GET	undefined	/dave
20250108	11:07:20	590ebf2a-b10a-459b-8881-251d5df74499	GET	undefined	/css/style.css
20250108	11:07:26	1006fc17-8f76-42f4-b02a-c8a4f63c735e	GET	undefined	/
20250108	11:07:26	3a27f133-39b0-4114-a77b-96b61e78113f	GET	undefined	/css/style.css
20250108	11:07:33	2f3f292d-575e-4eaf-9659-1b95891d67d4	GET	undefined	/subdir
20250108	11:07:39	483f1f5a-994c-45e2-863d-42bb89a78f51	GET	undefined	/subdir/test
20250108	11:07:52	e20dffa3-70ca-45b2-b0d6-9cbc086ed42c	GET	undefined	/subdir/testghfh
20250108	11:07:52	9942616b-8848-4307-836d-1f5f03c9f403	GET	undefined	/subdir/css/style.css
20250108	11:08:38	bc17f810-f1bc-417a-a857-bf1b90ce92e0	GET	undefined	/subdir/testghfh
20250108	11:08:38	5bbad7ed-65c5-492a-a4d1-04cc1f4b5ca2	GET	undefined	/subdir/css/style.css
20250108	11:09:00	20a1269f-0635-40e2-9d29-ccabe926405b	GET	undefined	/subdir/
20250108	11:13:19	48adbb76-5626-4312-8f4c-7a78ae2fc89e	GET	undefined	/
20250108	11:13:19	0485cae3-afcc-4654-a46e-951a0fc3015e	GET	undefined	/css/style.css
20250108	11:13:25	94114a89-460a-4cec-971c-daddcfb8fe85	GET	undefined	/new-page
20250108	11:13:25	2cb1eeed-addc-4028-a228-207388a5738d	GET	undefined	/img/img1.jpg
20250108	11:13:25	88fd09eb-a444-4cde-8895-526e63e90211	GET	undefined	/css/style.css
20250108	11:13:33	1c0f4688-b96c-45a2-acd1-e3fd251a744e	GET	undefined	/new-page.html
20250108	11:13:33	32de4a5f-0429-4f49-bc65-c2f04ccf3443	GET	undefined	/css/style.css
20250108	11:13:33	634b748a-48ce-49b5-84e5-a836ff2c24f0	GET	undefined	/img/img1.jpg
20250108	11:13:40	c983af93-7fae-4e2b-95ca-24a3532f09d0	GET	undefined	/index
20250108	11:13:40	b540b081-fdd0-4701-b6a3-d4694e52ab9a	GET	undefined	/css/style.css
20250108	11:23:44	7c2b7450-4e33-4b3e-80ad-87330a2c4a09	GET	undefined	/employees
20250108	11:24:03	eea726ad-a5e5-4784-8d15-afb0722fae60	POST	undefined	/employees
20250108	11:24:11	12caf5de-6c1a-4f82-938f-23c983b43114	PUT	undefined	/employees
20250108	11:26:09	9236e16c-332d-4a55-a523-de8b7821bb93	POST	undefined	/employees
20250108	11:26:15	4c71f7cc-5b28-43c3-8613-2ccf045715dd	POST	undefined	/employees
20250108	11:26:22	436e0f7d-ea92-4444-af8c-0a457ac7d6be	PUT	undefined	/employees
20250108	11:27:25	c6324b99-e9d6-4571-b829-5bddba745c2b	GET	undefined	/employees/1
